Fre_ch,pwr
1,6.15
2,6.2
3,6.25
4,6.15
5,6.1
6,6.2
7,6.23
8,6.2
9,6.08
10,6.07
11,6.15
12,6.2
13,6.13
14,6.05
15,6.13
16,6.2
17,6.2
18,6.07
19,6.04
20,6.12
21,6.18
22,6.14
23,6.03
24,6.07
25,6.18
26,6.22
27,6.1
28,6.03
29,6.08
30,6.18
31,6.15
32,5.99
33,6.02
34,6.09
35,6.2
36,6.12
37,5.99
38,6.02
39,6.14
40,6.1
41,6
42,5.93
43,5.99
44,6.08
45,6.07
46,5.95
47,5.95
48,6.05
49,6.1
50,6.05
51,5.98
52,6
53,6.09
54,6.15
55,6.02
56,5.97
57,6.03
58,6.15
59,6.17
60,6
61,5.99
62,6.04
63,6.14
64,6.09
65,5.99
66,5.99
67,6.06
68,6.11
69,6.04
70,6
71,6.02
72,6.1
73,6.1
74,6.03
75,6.05
76,6.08
77,6.12
78,6.08
79,5.99
80,6.08
